Review,Title,Rating,day,month,year,hour,minute,second,dayofweek,weekofyear,raw time,Country,Username,Reviews,Reads,Useful,Genre
I like rebtel to make calls to india.It has very good network connection and can make calls in simple process using there app.,Rebtel is really good for india calling,5,28,12,2016,15,43,12,3,52,2016-12-28T15:43:12,United States,Ravi,1,1619,0,
No engañen más sinvergüenzas,"Llevo cerca de 5 años con rebtel y no an sido capaces de tener un detalle con ninguno de sus clientes, encima an subido el precio de los minutos  a cuba y no informaron  de la subida,otros sinvergüen",1,27,12,2016,21,5,18,2,52,2016-12-27T21:05:18,Spain,Dagoberto Fuentes Monteagudo,1,1320,0,
Very bad service. I used the free trial and never could call UK as I wanted. I am in Mexico and the local number they gave me to get connected to The UK always said it was not available. Waste of time and money because they charged my card and refused to give me a refund.,Very bad service,1,17,12,2016,9,39,29,6,50,2016-12-17T09:39:29,United States,Vicente Sanchez,1,1546,0,
I have been using Rebtel for a number of years now. When they started their lines had a lot of problems. Now the service is.better and more reliable.,"Quality lines, but slow customer service",4,16,12,2016,14,37,6,5,50,2016-12-16T14:37:06,United Kingdom,Alex Typaldos,6,1502,0,
I get charged for 3 months as auto pay when I never register for it.,Get charged for service I didn't ask,1,14,12,2016,20,14,8,3,50,2016-12-14T20:14:08,United States,Yoan Roche,1,1410,0,
Service used to be okay in the past.,Deceptive practices,1,10,12,2016,17,9,41,6,49,2016-12-10T17:09:41,United States,rk,1,1149,0,
"I have sent so many emails but no solution yet ,ticket number,#1053727.","Very very slow Response,unfair attitude,time waste",1,6,12,2016,22,1,40,2,49,2016-12-06T22:01:40,United States,Rajasekhar Ravipati,1,942,0,
"I never enrolled in autopay and i am being charged every month through my credit card every. In november 2016, I was able to make only few calls and suddenly, it started saying ""please recharge to make calls"". No customer support to talk. When you try to contact thru emails, there would be dozens of emails to and fro, asking for all the details which they already know. But, the issue will not be resolved. Such a worst experience..",Cheaters,1,6,12,2016,3,10,22,2,49,2016-12-06T03:10:22,United States,ravi,1,755,0,
"Все хорошо, но как то сильно много денег ушло в пустоту по тарифам. На месте было проще купить тариф.",Не очень верные тарифы,3,3,12,2016,18,37,19,6,48,2016-12-03T18:37:19,Russia,Oleg,1,563,0,
Ladrone dame mi dinero,Desde el domingo le estoy enviando mensaje y no me ayudan ice dos transacciones y no me pusieron mi recarga son unos delicuente no pongo mas dinero con ustede y no se lo recomiendo a nadie ladrones.,1,29,11,2016,17,17,46,2,48,2016-11-29T17:17:46,United States,Christian Erbiti,2,776,0,
Это большая экономия ваших средств которые вы ежегодно тратите на международные звонки по всему миру.,Мой REBTEL,5,27,11,2016,14,25,18,7,47,2016-11-27T14:25:18,Lithuania,Aleksandr Boiko,3,559,0,Male
I am a rebtel customer from past few months..  here is my feedback.,Better you say it is not Unlimited calling to India -  you are really fooling everyone,1,27,11,2016,5,10,11,7,47,2016-11-27T05:10:11,United States,Varma,1,613,0,
"Biggest Frauds you will ever see in Market. Just visit their website and the first thing you want to see is there is no customer care or Toll Free number to reach them in case of issues.. They have an email option and you will see the most unprofessional, insensitive and careless handling of customer grevience via this mechanism....",Frauds..,1,25,11,2016,7,56,41,5,47,2016-11-25T07:56:41,United States,Anish Purushothaman,1,495,1,
"Dear Rebtel, you should not be sorry for me not liking your original caption that included the F-word. You should be sorry for yourselves for posting it. Obviously, you have not learned from it. Business 101: “Always portray a positive image to all your customers.” I am surprised your CEO accepts this type of message. Even your second attempt saying “Thanks for nothing…” is lame. If I may suggest, I would love to come down to your company and share my life experience with all of you. I believe that after hearing me you will be saying “Happy Thanksgiving, Everyone” next year. Hope you all had a nice Thanksgiving. Regards, Rafael",unprofessional posting on social media,1,24,11,2016,22,44,40,4,47,2016-11-24T22:44:40,United States,Rafael M Rios,1,419,1,
They locked my account and stole my money,Stole my money,1,23,11,2016,20,35,7,3,47,2016-11-23T20:35:07,United States,Angeline Lopez,1,360,1,
"I have used Rebtel for a long time and they updated to this stupid app that makes it impossible to resolve issues. I have unused credits on my line, made a call to Serbia and they blocked my app, I tried every means to reopen my app and it kept saying it will send a verification code to my phone, that never happened, then I got an email from the support team who started asking me why I called Serbia? Really? Who's f**king business is it with who I call? If it is a problem, why not go ahead and record the call or take some security measure, I have always used this service to make international calls so what has a business call to Serbia got to do with blocking my account and holding my call credit? Sorry they just lost one and I will forever give them bad reviews on multiple platforms to make them loose more people because any company that don't respect or regard their customers don't deserve to be in business.",Terrible Customer Service,1,22,11,2016,18,10,54,2,47,2016-11-22T18:10:54,United States,Iyke Okogwu,1,302,2,
Honestly I never had such a haunting experience with any service provider. I was told about Rebtel by my friend and I googled Rebtel Website. The welcome page says Unlimited Calls to India and Try One week free. I created an account on Nov 8th 2:25 PM hence I was eligible under free trial until Nov 15th. I decided to continue hence a payment of $10 was deducted from my card on 15th November. I made numerous calls from November 8th till yesterday to India but got a shock of my life when T-Mobile Service Provider sent me a hefty bill for all those calls. They told all those calls were made using their Network Towers. I emailed Rebtel Immediately since deliberately there is no customer care number given to call. Another shock I got when a customer care Representative told me that my free trial was expired on same day of activation i.e November 8th and it is reactivated on Nov 15 so now you can make calls. I told about my whole experience and the way he replied was very insensitive and unprofessional. If such is the start experience how can I trust you guys further if me or any of my known person want to use your services?,Big Lie.. Big Cheat..,1,21,11,2016,4,11,8,1,47,2016-11-21T04:11:08,United States,Anish Purushothaman,1,289,1,
I can't make conference call which I used to make it in keep calling,Confidence call,4,13,11,2016,23,42,6,7,45,2016-11-13T23:42:06,United States,Rasesh,1,322,0,
"My first 600 minutes were supposed to be free!. Now I've been charged $45 in a course of three months for what???. Please uninstall this app, you are better off with google voice/whatsapp...or anything!!. URGH!! I'm soooo mad!!!!!",Theives!!!!,1,8,11,2016,19,47,19,2,45,2016-11-08T19:47:19,United States,Pie,1,201,1,
This is the most useless call app.i loaded Rebtel on my new phone number and was told I have 7 days free trial after which I will be charged so I decided to do $15/month subscription which I didn't finish using and they cancelled it saying my free trial has expired.eventhe free $5 they were supposed to give the person I used her link to download the Rebtel to My phone she didn't get it.rebtel I need this issue resolved or I will go public to tell people how fraudulent you guys are.this is really not fair,Rebtel  has changed,1,6,11,2016,16,21,27,7,44,2016-11-06T16:21:27,United States,Rosemary Kalunta,1,178,0,
"Hi Everyone  .i am from paris . i am sharing my experience using rebtel .i am using rebtel for about more than 6 months. i used to call india under the scheme unlimited ,charged 10 Euro by rebtel valid for 30 days .",Is rebtel really Unlimited ?,2,6,11,2016,15,19,54,7,44,2016-11-06T15:19:54,United States,mohamed Rifayi,1,148,0,
efddsacfdsafds,too worst experience FFFFF***********,1,3,11,2016,3,0,52,4,44,2016-11-03T03:00:52,United States,Ankit Shahi,1,138,0,
Jus installed rebtel app. Both incoming and outgoing call to other friend on rebtel app is charged for me. But it says free calling to rebtel friends anywhere. Bad experience. Wont use it again. Pls refund my money.,Call charged to rebtel friend,1,2,11,2016,12,14,19,3,44,2016-11-02T12:14:19,United States,Gagan,1,91,0,
"1) I never selected auto-recharge option, then why the hell the rebtel does auto recharge and doesn't ask before doing it.",headache-Auto-recharge,2,28,10,2016,4,2,46,5,43,2016-10-28T04:02:46,United States,Tejaswi Goel,1,76,0,
"After so many years and thousands of dollars spend in this company, I have come to realize they make themselves rich by stealing from customers. I notice yesterday when my 62 minutes were set to expire at 5pm but when I try to use them out before it expire at 11am the customer service had zero out my mind it's before it expire and when I complained about it they did nothing but tell me that my minutes were scheduled to  expire which I knew and that is the reason I wanted to use them. Anyone using rebtel be careful of this thieves. I can imagine how many times they have stolen from me without know or other customers. I have spend thousands of dollars in this company.                                                     Concern customer, MINNEAPOLIS",Stealing,1,27,10,2016,14,49,24,4,43,2016-10-27T14:49:24,United States,Duma Runners,1,65,0,
"They steal your minutes, so please be aware. They round up the minutes, so if you only talk 5 sec they round it up to the minute; therefore, the 60 minutes they advertise when a new account is open, FALSE!!!, you will talk less than that. Also, if you call and no one answers, they will take up minutes for that. Overall, bad experience. BE AWARE!!!!",False advertisement,1,27,10,2016,13,50,7,4,43,2016-10-27T13:50:07,United States,Yanet Pinero,1,57,0,
"I had cancelled the free trail one day before the 7th day, still got charged in bank account. When contacted customer care said auto charge was enabled and the technical team would look at the concerns. However never heard back from them?",Charged to my card even though I cancelled the free trial,1,26,10,2016,22,46,41,3,43,2016-10-26T22:46:41,United Kingdom,Jude,1,53,0,
"I've used Rebtel for many years and was always happy with their service but for the last few months EVERY call I make is dropped (I see other reviewers are complaining about this happening too) and a recording states ""if you want to call your friend back …"".  Based on the current service I'd only given them one star but because it was a great company in the past I've upped it to two stars however if this problem continues then I guess it's time to find a new provider.",Drops Call EVERY Time,2,26,10,2016,15,6,20,3,43,2016-10-26T15:06:20,United States,Alison,1,51,0,
Good service,Rebtel,5,20,10,2016,18,58,0,4,42,2016-10-20T18:58:00,United States,Suhail mansoori,1,113,0,
I have emailed your support twice now and no reply !!! I use your service to fone my sister (00441624851644) who is seriously ill with cancer but now rebtel says it is connecting but then disconnects !! What is going on please ?,No customer service,2,15,10,2016,13,28,15,6,41,2016-10-15T13:28:15,United Kingdom,Gary Joyce,3,47,1,
What  happened to  Rebtel? I used to get more time from my deal to call Nigeria but now it seems indirectly the bill more minutes  than the actual call. They found  away squeeze more and more money out  of  users. It's been  nice.,Sneeky squeeze,2,15,10,2016,12,59,29,6,41,2016-10-15T12:59:29,United States,태미어서커야,1,45,0,
"$15 used to get me 600 minutes USA to NIGERIA,  now they only giving 160 minutes for the same $15. Count me out, I am done with Rebtel!",Used to love this company Rebtel but they got too greedy,2,14,10,2016,17,45,21,5,41,2016-10-14T17:45:21,United States,isaacuniforms,1,47,0,
"Rebtel is unethical, corrupt and grredy.",Rebtel is a Corrupt Company,1,13,10,2016,2,39,45,4,41,2016-10-13T02:39:45,United States,Fariba,1,46,0,
"This use to be a good company but as off late,I've noticed that my 10$ credit wasn't much anymore . Am loosing money every time I use this service. Am looking for other options.",Rebtel is stealing money,2,11,10,2016,13,3,0,2,41,2016-10-11T13:03:00,United States,Jazzmin Spencer,1,34,0,
I mistakenly opt world credit plan instead India unlimited plan. They cut huge money every India call. Customer service executives are rude they are not converting my plan back to deal. Very much frustrated on their service. Advise to keep AWAY from Rebtel.,Rebtel - not customer friendly - cheating,1,26,9,2016,23,51,16,1,39,2016-09-26T23:51:16,United States,Aruna Ganapathi,1,40,0,
"Hello. I have tested the app and called ""free"" wi-fi for my wife Rebtel app when we were both in Bosnia. When I came to Denmark, it appeared that the wifi opkold of Rebtel costs me 13.10 kr 19 seconds. The only thing I ka see ""Rebtel Local Call"" 19 pp. 13,01 kr. IT IS CHEATING",Rebtel - IT IS CHEATING !!!,1,26,9,2016,15,16,53,1,39,2016-09-26T15:16:53,Denmark,Jasmin Puzic,5,104,3,
especially with Cuba where the connectivity is not optimum/ Thank you,Great service,5,23,9,2016,21,48,0,5,38,2016-09-23T21:48:00,United States,GRACIELA,1,118,0,
Tengo  5 pesos puestos en la cuenta y no me deja llamar a cuba. Muy decepcionado de rebtel.,No me gusta,1,23,9,2016,3,2,25,5,38,2016-09-23T03:02:25,States,Adrián Valdés,2,32,0,Male
They are really cheaters as On two occasions I have activated India unlimited calling from two different accounts and when payment goes through they have activated only 1000 mins plan with same charge. I have screenshot for second time. Really avoid using them I will contact trading standards for this issue also I will cancel payment with my bank.,Very bad company,1,20,9,2016,6,58,33,2,38,2016-09-20T06:58:33,United Kingdom,Binal Patel,3,30,0,
"I've used Rebtel to phone my family in South Africa for many years now. It's always been ultra cheap, reliable and easy to use. This year however the line continually drops out although we share a strong signal. Now, every few minutes a voice will inexplicably cut in with useless offers of free calls to friends and I have to phone through again. If I phone not using Rebtel yes it's extremely expensive but at least I get a complete call experience and not phone roulette. Come on Rebtel! Coincidently it's gone downhill when you changed your logo and aptly put a woman screaming in frustration on your Facebook cover page!? (Lol)",Rebtel...what's happened to you?!,2,17,9,2016,18,3,19,6,37,2016-09-17T18:03:19,United Kingdom,Justin Tancrel,4,30,3,
I find Rebtel to be easy to use and it has a clear connection.  One drawback is difficulty in paying for credit.  There was a promotion advertised and shown on the website but it wouldn't allow me to take advantage of it.  I had to go ahead and add credit using the normal method and wasn't able to take advantage of the promotion.,"Good service, clear connection",4,13,9,2016,12,49,22,2,37,2016-09-13T12:49:22,United States,Russell,1,142,0,
"I've been using Rebtel since 2014. At first, the service prices and a call quality made a good impression on me. I could make calls out of the country without problems. However, when I needed an access to WiFi, it got disconnected. I tried to email the customer support, but there was no response.",Cheap and Good Quality Connection,3,13,9,2016,12,26,11,2,37,2016-09-13T12:26:11,United Kingdom,Trevor,3,73,1,Male
"Easy to use, great App, convinient-very user friendly, great deals, great quality",Easy and convinient,5,12,9,2016,18,17,32,1,37,2016-09-12T18:17:32,United States,Linda,1,97,0,
"Overall service is pretty good, but sometimes the call to Italy gets disconnected",Overseas calls get disconnected.,4,8,9,2016,19,36,25,4,36,2016-09-08T19:36:25,United States,Robert C,1,107,0,
I love Rebtel because it is the cheapest and make me connect with my people with no fear.,Great,5,8,9,2016,19,15,17,4,36,2016-09-08T19:15:17,United States,Joke Aya,1,103,0,
Good Service but would like to see the call quality improve and reduce call drops.,Call Quality,3,8,9,2016,17,46,30,4,36,2016-09-08T17:46:30,United States,Ram Babu,1,18,0,
Keep up the good work calling is easy,Great and easy to use,5,8,9,2016,17,33,36,4,36,2016-09-08T17:33:36,United States,JOSEPH,1,109,0,
"I used rebtal out of the country. I used the wifi choice and it works great, however some time it did not work at all. I tried to email the company, but there were no response.",It is great when it works,3,8,9,2016,16,27,1,4,36,2016-09-08T16:27:01,United Kingdom,Sulaiman,2,19,0,
Crystal clear at a low cost,Great for high quality calling to foreign countries,5,8,9,2016,14,45,2,4,36,2016-09-08T14:45:02,United States,Tom,1,109,0,
Rebtel is good app but sometimes it's very hard to connect because charging me on time from my credit card but always says pls add more credit everything I make call..😔😔,firsr trial fail to call,3,8,9,2016,14,22,36,4,36,2016-09-08T14:22:36,United States,Harsh,1,15,0,
Very good app for calling international. Only thing is there is restriction of calling to only 30 different numbers per month. This limitation of 30 numbers should be removed.,Great App :),5,8,9,2016,14,21,35,4,36,2016-09-08T14:21:35,United States,Suneel Kumar,1,183,0,
Some times I call overseas and norespond but already three minutes go on. and some time when you speak they hear you but you can't hear to them I only use it because I don't have time to buy phone card otherwise it's more chiper and clear. Second thing is I don't like to top up automatically I off it in setting but still its on by it self I just want to top up when I need it.,It's expensive and the line is not clear.,2,8,9,2016,14,14,34,4,36,2016-09-08T14:14:34,United States,mensur,1,14,0,
Bring back SMS,SMS....,3,8,9,2016,14,14,30,4,36,2016-09-08T14:14:30,United Kingdom,Darren,2,9,0,
Sometimes its very clear which is great.but other times its very frustrating. The oter person is talking away and im onli getting every second word.so we are talking on top of each other.at the same time.but when its a gud day its very clear.otherwise very frustrating i have to hang up.,Acceptable,3,8,9,2016,14,8,37,4,36,2016-09-08T14:08:37,United States,christine,1,10,0,
I am using Rebtel service more than a year.,Excellent,5,8,9,2016,14,7,26,4,36,2016-09-08T14:07:26,United States,Sanjaykumar,1,108,0,
Hi i have purchased canada unlimited app about a week ago then i didnot get any free mintue and today i try again to purchased now i got free mintues but u charged twice so pls refund me just now .,Pls refund,1,6,9,2016,1,42,41,2,36,2016-09-06T01:42:41,New Zealand,Guri,1,15,0,
"I was using the trial period of Rebtel for 7days. After that I have been charged for India calling, I cancelled the service as dint like it and was not satisfied. I have been trying to reach the Rebtel customer service till date. They do not respond to my mails and do not bother to refund my money back, I have stopped using the service ever since I was charged. Kindly look into it and refund back the amount that has been charged on my number. Thanks!! Awaiting for a quick reply",Refund on +14693446005,1,5,9,2016,7,2,40,1,36,2016-09-05T07:02:40,United States,Trivikram,1,18,0,
Name : Danson Mwangi,Disappointed,4,2,9,2016,10,39,44,5,35,2016-09-02T10:39:44,United Kingdom,Admin Admin,1,242,0,
Was using Calling cards previously and needed something more cheaper for unlimited calling and found Rebtel.,Loved the Service,5,1,9,2016,22,32,9,4,35,2016-09-01T22:32:09,United States,Raja Shekar,1,114,0,
Account gets restricted and no customer care phone number to call and have this fixed. Do not get quick responses to emails.,Good app but a couple disadvantages,2,1,9,2016,14,56,50,4,35,2016-09-01T14:56:50,United States,Dhruuv,1,9,0,
"I am enjoying with this app, unlimited calling option to India.",it is good option for calling India,5,1,9,2016,14,53,46,4,35,2016-09-01T14:53:46,United States,Amarnadh,1,132,0,
"Rebtel is a reliable app, very good quality",Reliable,4,25,8,2016,22,48,13,4,34,2016-08-25T22:48:13,United States,Ahmed,1,89,0,
It is fair choice for every one to make cheap calls but it need to improve on certain features like call dropping in the middle of the conversation,How is Rebtel,3,25,8,2016,22,21,19,4,34,2016-08-25T22:21:19,United States,Lingeswaran,1,8,0,
I am very much happy with Rebtel and it has been almost an year of using it without any regrets. I started using with unlimited calls plan to India then with the limited number of calls also. One good thing about Rebtel is call quality and accurate billing. I have used so many other applications where the call drop is more and quality is not good. One more good thing is after changing the new logo it truly deserves the caption of Hijacking the calls.,Excellent Application,5,25,8,2016,18,7,3,4,34,2016-08-25T18:07:03,United States,Nagaraja,1,105,0,
The chat operators only know how to solve standard problems . Any thinnoutnkd the ordinary you are screwed.,Too much hazle. Lots of technical problems.,3,25,8,2016,16,48,2,4,34,2016-08-25T16:48:02,United States,alberto,1,7,0,
Recommend to friends,Good,5,25,8,2016,16,47,31,4,34,2016-08-25T16:47:31,United States,Samba,1,91,0,
"I love rebel service. I've been using it for over 4 years now. The rate is reasonable, and you can't go wrong with it.",Thanks for your service,5,25,8,2016,16,7,42,4,34,2016-08-25T16:07:42,United States,Elem,1,37,0,
Recently they move to Apple Pay or some soft of payment throw Apple. Because Apple applies some fees you could pay so much fees that is not worth it at all to use the application.,Extra fees. Not a good movement,1,25,8,2016,15,59,10,4,34,2016-08-25T15:59:10,United States,Yordis,1,11,0,
I enjoy using Rebel.  It provides grate call rates and a very clear line.,Great Call Services,4,25,8,2016,14,57,50,4,34,2016-08-25T14:57:50,United States,Pampam,1,17,0,
Perfect app for international calls. Quality at its best. Thanks Rebtel.,Reliable service.,5,25,8,2016,14,45,54,4,34,2016-08-25T14:45:54,United States,Bharani,1,7,0,
I used rebtel for yrs only to get an issue where I get charged for international calls and also being charged by rebtel when the app appears to intercept my calls.I have email tra\ils from this cowboy of company saying they wont refund my money. Despite showing them my phone bill and provided them with all the info they required.,The worst customer service ever recieved. The app dont work for intercepted calls,1,24,8,2016,11,9,26,3,34,2016-08-24T11:09:26,United Kingdom,Joseph Martins,1,8,1,
Worst App Ever. Not working at all. the free minute worked and once I recharged it stopped working. Event their customer service does not respond ever.,Worst company and customer service,1,23,8,2016,12,18,9,2,34,2016-08-23T12:18:09,United States,Uday Kumar,1,8,0,
Previously i was using skype features wise both are almost same.,In Peak Hours voice quality is very poor,4,21,8,2016,0,42,52,7,33,2016-08-21T00:42:52,United States,Sankuratri,1,3,0,
Cheap and best,Good one,3,20,8,2016,21,8,39,6,33,2016-08-20T21:08:39,United States,swathi,1,2,0,
It's best app,Wonderful,5,20,8,2016,7,45,6,6,33,2016-08-20T07:45:06,United States,Robin,1,2,0,
It's wise to use rebtel.,Nice and affordable prices,5,20,8,2016,5,43,41,6,33,2016-08-20T05:43:41,Norway,Abdinoor,2,3,0,
I am to be honest with you guys I am very happy with your Rebtel service. But One thing I wanna let you know that you have to provide your any number or email to contact with you for any problem or question because from last month I have to ask you any question but I couldn't get your any number or email so please if you can provide so it will be very beneficially to yours customers.,Great experience,5,19,8,2016,21,13,43,5,33,2016-08-19T21:13:43,United States,Gourav sharma,1,6,0,
Good app for service,Good,3,19,8,2016,17,59,9,5,33,2016-08-19T17:59:09,United States,Lokeswararao,1,2,0,
Good to use this application,Very good,4,19,8,2016,17,22,46,5,33,2016-08-19T17:22:46,United States,KHAIRUL,1,1,0,
Need the text option back. Been thinking of moving as this option id needed at times. Despite other good things sbout rebtel this is equally important,TEXTING,3,19,8,2016,14,50,50,5,33,2016-08-19T14:50:50,United States,Ade,1,5,0,
Good but should allow the 2 connections to talk at a time,Good but should allow the 2 connections to talk at a time,3,19,8,2016,13,35,40,5,33,2016-08-19T13:35:40,United States,Pradeep,1,9,0,
"If you can sign up or recharge during their promotions its very cheap, but sometimes calling won't be that great!",Cheap and realiable,4,19,8,2016,13,24,16,5,33,2016-08-19T13:24:16,United States,Keerthi,1,6,0,
Few months back I was charged multiple times and I contacted the support 4 or 5 times and I never got my money back. Support is very bad.,Poor Support Experience,1,18,8,2016,18,33,5,4,33,2016-08-18T18:33:05,United States,Suresh K,1,10,0,
i am very disappointed with the technical problem of this website. i used to have this app year ago. i made phone calls to india year ago and than stop using the app. recently when i reinstalled the app again it showed that i made those phone calls recently with completely diffrent time and dates. this has caused a real trouble in my family life. i am sure i have not made any phone calls.  it also show on my phone activity log that i have added credit twice on the app when i have not purchased any credit from the website. could you please confirm that was there a technical issues with the app recentley and is it possible that the app can refresh itself and could it be possible that the time and the date on the call history could be wrong. i have made enquiry with apple about the credit money which they have refunded to me but my questions is is it possible that the date and time could be wrong on the call history ? please get back to me as this is a real issues in my family life right now. i can also provide the times and date of the call history or screenshots as well.,very disappointed with the technical issues,1,16,8,2016,12,0,15,2,33,2016-08-16T12:00:15,United States,Janak12345,1,8,0,
The options in the app about pricing are not clear which i believe are intentional to auto deduct money from users account.,Frustrating App and real bas support,1,14,8,2016,18,53,18,7,32,2016-08-14T18:53:18,United States,himanshu,1,8,0,
I WAS EXCITED WHEN I CAME ACROSS THIS REBTEL THAT REVOLUTIONIZE THE CALLING ANYWHERE PARTS OF THE WORLD.  SO I GIVE IT A TRY BUT I END UP SO FRUSTRATING THAT I ALMOST THROW MY PHONE AWAY - YEAH THAT BAD!,UNABLE TO CALL INTERNATIONAL (PHILIPPINES),1,14,8,2016,5,10,37,7,32,2016-08-14T05:10:37,United States,EMMANUEL,1,5,0,
Excellent voice quality and no call drops,Voice quality on rebtel,5,9,8,2016,16,44,23,2,32,2016-08-09T16:44:23,United States,pratiksha,1,2,0,
"When I call India, regardless of the number is OFF, not reachable, network error, REBTEL simple gives me that bell is ringing. This is bad.",Sometimes its frustrating,2,9,8,2016,15,12,4,2,32,2016-08-09T15:12:04,United States,Vipul,1,2,0,
"I tried to help my sister to login to the app, however, she does not get this verification code sent to her cell phone. I provided all details to customer service (I believe, about 5 emails already were in process), however the last email was with an instruction how to get this verification code sent. Seriously, that's a joke, because this is what my sister tries to do for hours. Anyway, no service no usage of that rebtel app.","Issue persist, customer service is not helping",1,7,8,2016,22,15,25,7,31,2016-08-07T22:15:25,Canada,theresa wolf,2,22,0,
"I have downloaded Rebtel 4.1 from play store and recharged with 10$ for unlimited calls.I have been not able to any calls from my phone using app and getting problem.I have contacted customer support .They haven't solve the issue and their have been saying network issue.Actually,I don't have any network issue in my mobile .But still saying network.",Bad App and Very Bad Customer Support,1,3,8,2016,5,52,45,3,31,2016-08-03T05:52:45,United States,rajesh,1,2,0,
"Overall connection and quality of calls is better than most services that I have used. The prices on the most popular call destinations should be less expensive. And free Rebtel to Rebtel calls should be extended to most? If not all countries. I know...I'm dreaming, but I was supposed to be honest with my opinion :)",Good but could be better,4,2,8,2016,0,24,8,2,31,2016-08-02T00:24:08,United States,Colinsmart,1,2,0,
So far itt has been very  good.,Very good.,5,1,8,2016,20,18,1,1,31,2016-08-01T20:18:01,United States,Roberto J,1,3,0,
"Hey I wanna be honest, this app. Rebtel, with the icon R, upside down is awesome. I am making phone calls to Family in Africa twice to 4 times a week. I feel like I am right there at home with them!",Calling overseas Made easy!,5,1,8,2016,17,50,42,1,31,2016-08-01T17:50:42,United States,Tadesse Teferra,1,5,0,
It is nice experience after having Rebtel.,Trustworthy,5,1,8,2016,17,49,10,1,31,2016-08-01T17:49:10,United States,Lavanya Rani,1,6,0,
